t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,kf_x,kf_y,kf_yaw,kf_cov_x,kf_cov_y,ekf_x,ekf_y,ekf_yaw,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_yaw,pf_cov_x,pf_cov_y,pf_cov_yaw
0.05029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.35015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.40141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.50020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.55016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.60015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.65022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.70039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.75020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.80077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.85161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.90043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.95017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.00902,0.00902,0.00902,0.00164,0.00160,0.00471,0.00947,0.00944,0.00274
1.00018,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.00902,0.00902,0.00902,0.00164,0.00160,0.00471,0.00947,0.00944,0.00274
1.05018,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.00902,0.00902,0.00902,0.00164,0.00160,0.00471,0.00947,0.00944,0.00274
1.10025,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.00902,0.00902,0.00902,0.00164,0.00160,0.00471,0.00947,0.00944,0.00274
1.15018,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.00902,0.00902,0.00902,0.00164,0.00160,0.00471,0.00947,0.00944,0.00274
1.20015,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.00902,0.00902,0.00902,0.00164,0.00160,0.00471,0.00947,0.00944,0.00274
1.25017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02229,0.02229,-0.00000,0.00000,0.00000,0.00787,0.00787,0.00787,0.00053,0.00202,0.00505,0.00765,0.00788,0.00259
1.30016,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02229,0.02229,-0.00000,0.00000,0.00000,0.00787,0.00787,0.00787,0.00053,0.00202,0.00505,0.00765,0.00788,0.00259
1.35015,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02229,0.02229,-0.00000,0.00000,0.00000,0.00787,0.00787,0.00787,0.00053,0.00202,0.00505,0.00765,0.00788,0.00259
1.40373,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02229,0.02229,-0.00000,0.00000,0.00000,0.00787,0.00787,0.00787,0.00053,0.00202,0.00505,0.00765,0.00788,0.00259
1.45265,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02724,0.02724,-0.00000,0.00000,0.00000,0.00754,0.00754,0.00754,0.00041,0.00225,0.00517,0.00698,0.00729,0.00251
1.50017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.01924,0.01924,-0.00000,0.00000,0.00000,0.00729,0.00729,0.00729,0.00042,0.00245,0.00526,0.00641,0.00679,0.00244
1.55034,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.01924,0.01924,-0.00000,0.00000,0.00000,0.00729,0.00729,0.00729,0.00042,0.00245,0.00526,0.00641,0.00679,0.00244
1.60022,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.01924,0.01924,-0.00000,0.00000,0.00000,0.00729,0.00729,0.00729,0.00042,0.00245,0.00526,0.00641,0.00679,0.00244
1.65020,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.01924,0.01924,-0.00000,0.00000,0.00000,0.00729,0.00729,0.00729,0.00042,0.00245,0.00526,0.00641,0.00679,0.00244
