t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,kf_x,kf_y,kf_yaw,kf_cov_x,kf_cov_y,ekf_x,ekf_y,ekf_yaw,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_yaw,pf_cov_x,pf_cov_y,pf_cov_yaw
0.05061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.35020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.40018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.50102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.55015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.60017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.65014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.70089,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.75020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.80019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.85014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.90135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.95013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.00014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.05016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.10030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.15016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.20030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.25117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.30022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.35088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.40017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.45142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.50037,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.55026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.60018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.65013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.70020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.75012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.80114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.85202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.90015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.95045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.00016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.05031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.10014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.15191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.20019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.25142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.30021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.35013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.40016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.45016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.50019,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00093,0.00179,0.00540,0.00866,0.00858,0.00280
2.55014,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00093,0.00179,0.00540,0.00866,0.00858,0.00280
2.60025,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00093,0.00179,0.00540,0.00866,0.00858,0.00280
2.65049,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00093,0.00179,0.00540,0.00866,0.00858,0.00280
2.70017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04807,0.04807,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,-0.01088,-0.00025,0.00244,0.02479,0.00795,0.02291
2.75056,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04807,0.04807,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,-0.01088,-0.00025,0.00244,0.02479,0.00795,0.02291
2.80013,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04807,0.04807,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,-0.01088,-0.00025,0.00244,0.02479,0.00795,0.02291
2.85044,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04807,0.04807,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,-0.01088,-0.00025,0.00244,0.02479,0.00795,0.02291
2.90617,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04833,0.04833,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00313,-0.00268,-0.00375,0.04126,0.00777,0.03767
2.95012,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04833,0.04833,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00313,-0.00268,-0.00375,0.04126,0.00777,0.03767
3.00015,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04833,0.04833,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00313,-0.00268,-0.00375,0.04126,0.00777,0.03767
3.05009,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04833,0.04833,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00313,-0.00268,-0.00375,0.04126,0.00777,0.03767
3.10042,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04833,0.04833,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00313,-0.00268,-0.00375,0.04126,0.00777,0.03767
3.15122,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04836,0.04836,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00527,-0.00779,-0.00903,0.05220,0.00800,0.04674
3.20015,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04836,0.04836,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,0.00527,-0.00779,-0.00903,0.05220,0.00800,0.04674
3.25010,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04788,0.04788,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,-0.00170,-0.00652,-0.00574,0.04004,0.00745,0.03615
3.30026,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04788,0.04788,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,-0.00170,-0.00652,-0.00574,0.04004,0.00745,0.03615
3.35017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.04788,0.04788,-0.00000,0.00000,0.00000,0.04772,0.04772,0.04772,-0.00170,-0.00652,-0.00574,0.04004,0.00745,0.03615
3.40019,-0.00004,-0.00000,0.00000,-0.00004,-0.00000,0.00000,-0.00004,-0.00000,0.00000,0.04796,0.04796,-0.00098,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01736,-0.00567,-0.00726,0.03705,0.00699,0.03307
3.45035,-0.00028,-0.00000,0.00000,-0.00028,-0.00000,0.00000,-0.00027,-0.00000,0.00000,0.04773,0.04773,-0.00041,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01465,-0.00394,-0.00649,0.02929,0.00661,0.02303
3.50020,-0.00028,-0.00000,0.00000,-0.00028,-0.00000,0.00000,-0.00027,-0.00000,0.00000,0.04773,0.04773,-0.00041,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01465,-0.00394,-0.00649,0.02929,0.00661,0.02303
3.55087,-0.00028,-0.00000,0.00000,-0.00028,-0.00000,0.00000,-0.00027,-0.00000,0.00000,0.04773,0.04773,-0.00041,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01465,-0.00394,-0.00649,0.02929,0.00661,0.02303
3.60020,-0.00028,-0.00000,0.00000,-0.00028,-0.00000,0.00000,-0.00027,-0.00000,0.00000,0.04773,0.04773,-0.00041,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01465,-0.00394,-0.00649,0.02929,0.00661,0.02303
3.65031,-0.00073,-0.00000,0.00000,-0.00073,-0.00000,0.00000,-0.00071,-0.00000,0.00000,0.04827,0.04827,-0.00218,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02816,-0.00281,-0.00799,0.03771,0.00626,0.03624
3.70303,-0.00073,-0.00000,0.00000,-0.00073,-0.00000,0.00000,-0.00071,-0.00000,0.00000,0.04827,0.04827,-0.00218,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02816,-0.00281,-0.00799,0.03771,0.00626,0.03624
3.75013,-0.00073,-0.00000,0.00000,-0.00073,-0.00000,0.00000,-0.00071,-0.00000,0.00000,0.04827,0.04827,-0.00218,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02816,-0.00281,-0.00799,0.03771,0.00626,0.03624
3.80013,-0.00153,-0.00000,0.00000,-0.00153,-0.00000,0.00000,-0.00150,-0.00000,0.00000,0.04798,0.04798,-0.00249,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02232,-0.00200,-0.00532,0.03424,0.00575,0.03399
3.85013,-0.00153,-0.00000,0.00000,-0.00153,-0.00000,0.00000,-0.00150,-0.00000,0.00000,0.04798,0.04798,-0.00249,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02232,-0.00200,-0.00532,0.03424,0.00575,0.03399
3.90013,-0.00352,-0.00000,0.00000,-0.00352,-0.00000,0.00000,-0.00347,-0.00000,0.00000,0.04773,0.04773,-0.00360,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01530,-0.00295,0.00119,0.02280,0.00507,0.02201
3.95012,-0.00352,-0.00000,0.00000,-0.00352,-0.00000,0.00000,-0.00347,-0.00000,0.00000,0.04773,0.04773,-0.00360,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01530,-0.00295,0.00119,0.02280,0.00507,0.02201
4.00012,-0.00352,-0.00000,0.00000,-0.00352,-0.00000,0.00000,-0.00347,-0.00000,0.00000,0.04773,0.04773,-0.00360,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01530,-0.00295,0.00119,0.02280,0.00507,0.02201
4.05141,-0.00352,-0.00000,0.00000,-0.00352,-0.00000,0.00000,-0.00347,-0.00000,0.00000,0.04773,0.04773,-0.00360,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01530,-0.00295,0.00119,0.02280,0.00507,0.02201
4.10023,-0.00352,-0.00000,0.00000,-0.00352,-0.00000,0.00000,-0.00347,-0.00000,0.00000,0.04773,0.04773,-0.00360,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.01530,-0.00295,0.00119,0.02280,0.00507,0.02201
4.15032,-0.00663,-0.00000,0.00000,-0.00663,-0.00000,0.00000,-0.00656,-0.00000,0.00000,0.04773,0.04773,-0.00673,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03201,0.00235,-0.00148,0.03048,0.00464,0.02555
4.20012,-0.00663,-0.00000,0.00000,-0.00663,-0.00000,0.00000,-0.00656,-0.00000,0.00000,0.04773,0.04773,-0.00673,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03201,0.00235,-0.00148,0.03048,0.00464,0.02555
4.25015,-0.00663,-0.00000,0.00000,-0.00663,-0.00000,0.00000,-0.00656,-0.00000,0.00000,0.04773,0.04773,-0.00673,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03201,0.00235,-0.00148,0.03048,0.00464,0.02555
4.30013,-0.00663,-0.00000,0.00000,-0.00663,-0.00000,0.00000,-0.00656,-0.00000,0.00000,0.04773,0.04773,-0.00673,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03201,0.00235,-0.00148,0.03048,0.00464,0.02555
4.35016,-0.00874,-0.00000,0.00000,-0.00874,-0.00000,0.00000,-0.00869,-0.00000,0.00000,0.04830,0.04830,-0.01011,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03189,0.00081,-0.00364,0.04066,0.00503,0.04000
4.40017,-0.00874,-0.00000,0.00000,-0.00874,-0.00000,0.00000,-0.00869,-0.00000,0.00000,0.04830,0.04830,-0.01011,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03189,0.00081,-0.00364,0.04066,0.00503,0.04000
4.45013,-0.00874,-0.00000,0.00000,-0.00874,-0.00000,0.00000,-0.00869,-0.00000,0.00000,0.04830,0.04830,-0.01011,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03189,0.00081,-0.00364,0.04066,0.00503,0.04000
4.50026,-0.01072,-0.00000,0.00000,-0.01072,-0.00000,0.00000,-0.01066,-0.00000,0.00000,0.04791,0.04791,-0.01146,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02931,-0.00095,-0.00144,0.03227,0.00502,0.03138
4.55041,-0.01072,-0.00000,0.00000,-0.01072,-0.00000,0.00000,-0.01066,-0.00000,0.00000,0.04791,0.04791,-0.01146,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02931,-0.00095,-0.00144,0.03227,0.00502,0.03138
4.60012,-0.01290,-0.00000,0.00000,-0.01290,-0.00000,0.00000,-0.01284,-0.00000,0.00000,0.04799,0.04799,-0.01376,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04195,-0.00217,0.01142,0.03187,0.00473,0.03268
4.65392,-0.01290,-0.00000,0.00000,-0.01290,-0.00000,0.00000,-0.01284,-0.00000,0.00000,0.04799,0.04799,-0.01376,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04195,-0.00217,0.01142,0.03187,0.00473,0.03268
4.70015,-0.01560,-0.00000,0.00000,-0.01560,-0.00000,0.00000,-0.01552,-0.00000,0.00000,0.04790,0.04790,-0.01624,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04122,-0.00283,0.01396,0.03147,0.00471,0.03140
4.75116,-0.01560,-0.00000,0.00000,-0.01560,-0.00000,0.00000,-0.01552,-0.00000,0.00000,0.04790,0.04790,-0.01624,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04122,-0.00283,0.01396,0.03147,0.00471,0.03140
4.80014,-0.01560,-0.00000,0.00000,-0.01560,-0.00000,0.00000,-0.01552,-0.00000,0.00000,0.04790,0.04790,-0.01624,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04122,-0.00283,0.01396,0.03147,0.00471,0.03140
4.85013,-0.02010,-0.00000,0.00000,-0.02010,-0.00000,0.00000,-0.02000,-0.00000,0.00000,0.04773,0.04773,-0.02013,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04417,-0.00772,0.01588,0.02430,0.00431,0.02200
4.90432,-0.02010,-0.00000,0.00000,-0.02010,-0.00000,0.00000,-0.02000,-0.00000,0.00000,0.04773,0.04773,-0.02013,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04417,-0.00772,0.01588,0.02430,0.00431,0.02200
4.95098,-0.02010,-0.00000,0.00000,-0.02010,-0.00000,0.00000,-0.02000,-0.00000,0.00000,0.04773,0.04773,-0.02013,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04417,-0.00772,0.01588,0.02430,0.00431,0.02200
5.00021,-0.02010,-0.00000,0.00000,-0.02010,-0.00000,0.00000,-0.02000,-0.00000,0.00000,0.04773,0.04773,-0.02013,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04417,-0.00772,0.01588,0.02430,0.00431,0.02200
5.05021,-0.02010,-0.00000,0.00000,-0.02010,-0.00000,0.00000,-0.02000,-0.00000,0.00000,0.04773,0.04773,-0.02013,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04417,-0.00772,0.01588,0.02430,0.00431,0.02200
5.10022,-0.02280,-0.00000,0.00000,-0.02280,-0.00000,0.00000,-0.02279,-0.00000,0.00000,0.04843,0.04843,-0.02431,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03566,-0.01106,0.02428,0.04398,0.00463,0.04463
5.15015,-0.02280,-0.00000,0.00000,-0.02280,-0.00000,0.00000,-0.02279,-0.00000,0.00000,0.04843,0.04843,-0.02431,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03566,-0.01106,0.02428,0.04398,0.00463,0.04463
5.20067,-0.02550,-0.00000,0.00000,-0.02550,-0.00000,0.00000,-0.02544,-0.00000,0.00000,0.04791,0.04791,-0.02619,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02860,-0.01083,0.01383,0.03468,0.00452,0.03382
5.25016,-0.02550,-0.00000,0.00000,-0.02550,-0.00000,0.00000,-0.02544,-0.00000,0.00000,0.04791,0.04791,-0.02619,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02860,-0.01083,0.01383,0.03468,0.00452,0.03382
5.30020,-0.02550,-0.00000,0.00000,-0.02550,-0.00000,0.00000,-0.02544,-0.00000,0.00000,0.04791,0.04791,-0.02619,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.02860,-0.01083,0.01383,0.03468,0.00452,0.03382
5.35018,-0.02775,-0.00000,0.00000,-0.02775,-0.00000,0.00000,-0.02772,-0.00000,0.00000,0.04798,0.04798,-0.02857,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03618,-0.01117,0.01191,0.03159,0.00418,0.03451
5.40040,-0.02775,-0.00000,0.00000,-0.02775,-0.00000,0.00000,-0.02772,-0.00000,0.00000,0.04798,0.04798,-0.02857,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03618,-0.01117,0.01191,0.03159,0.00418,0.03451
5.45017,-0.03000,-0.00000,0.00000,-0.03000,-0.00000,0.00000,-0.02996,-0.00000,0.00000,0.04792,0.04792,-0.03070,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03765,-0.01121,0.00283,0.02777,0.00428,0.03086
5.50021,-0.03000,-0.00000,0.00000,-0.03000,-0.00000,0.00000,-0.02996,-0.00000,0.00000,0.04792,0.04792,-0.03070,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03765,-0.01121,0.00283,0.02777,0.00428,0.03086
5.55023,-0.03000,-0.00000,0.00000,-0.03000,-0.00000,0.00000,-0.02996,-0.00000,0.00000,0.04792,0.04792,-0.03070,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.03765,-0.01121,0.00283,0.02777,0.00428,0.03086
5.60014,-0.03225,-0.00000,0.00000,-0.03225,-0.00000,0.00000,-0.03224,-0.00000,0.00000,0.04806,0.04806,-0.03319,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04764,-0.01441,-0.00282,0.03195,0.00425,0.03197
5.65406,-0.03225,-0.00000,0.00000,-0.03225,-0.00000,0.00000,-0.03224,-0.00000,0.00000,0.04806,0.04806,-0.03319,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.04764,-0.01441,-0.00282,0.03195,0.00425,0.03197
5.70016,-0.03495,-0.00000,0.00000,-0.03495,-0.00000,0.00000,-0.03490,-0.00000,0.00000,0.04793,0.04793,-0.03563,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.05555,-0.01457,0.00221,0.02721,0.00406,0.03018
5.75042,-0.03495,-0.00000,0.00000,-0.03495,-0.00000,0.00000,-0.03490,-0.00000,0.00000,0.04793,0.04793,-0.03563,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.05555,-0.01457,0.00221,0.02721,0.00406,0.03018
5.80023,-0.03495,-0.00000,0.00000,-0.03495,-0.00000,0.00000,-0.03490,-0.00000,0.00000,0.04793,0.04793,-0.03563,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.05555,-0.01457,0.00221,0.02721,0.00406,0.03018
5.85071,-0.03720,-0.00000,0.00000,-0.03720,-0.00000,0.00000,-0.03718,-0.00000,0.00000,0.04799,0.04799,-0.03801,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.05103,-0.01291,0.00207,0.02862,0.00400,0.03019
5.90234,-0.03720,-0.00000,0.00000,-0.03720,-0.00000,0.00000,-0.03718,-0.00000,0.00000,0.04799,0.04799,-0.03801,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.05103,-0.01291,0.00207,0.02862,0.00400,0.03019
5.95015,-0.03945,-0.00000,0.00000,-0.03945,-0.00000,0.00000,-0.03942,-0.00000,0.00000,0.04791,0.04791,-0.04010,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.05829,-0.01253,0.00605,0.02826,0.00389,0.02899
6.00113,-0.03945,-0.00000,0.00000,-0.03945,-0.00000,0.00000,-0.03942,-0.00000,0.00000,0.04791,0.04791,-0.04010,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.05829,-0.01253,0.00605,0.02826,0.00389,0.02899
6.05126,-0.04215,-0.00000,0.00000,-0.04215,-0.00000,0.00000,-0.04211,-0.00000,0.00000,0.04794,0.04794,-0.04282,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.06844,-0.01268,-0.00026,0.02765,0.00373,0.02863
6.10047,-0.04215,-0.00000,0.00000,-0.04215,-0.00000,0.00000,-0.04211,-0.00000,0.00000,0.04794,0.04794,-0.04282,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.06844,-0.01268,-0.00026,0.02765,0.00373,0.02863
6.15025,-0.04215,-0.00000,0.00000,-0.04215,-0.00000,0.00000,-0.04211,-0.00000,0.00000,0.04794,0.04794,-0.04282,-0.00000,0.00000,0.04772,0.04772,0.04772,-0.06844,-0.01268,-0.00026,0.02765,0.00373,0.02863
